dx,dy,dt,d,targetX,targetY
0,0,0,966.484867962246,963,82
24,30,18,940.4387274033328,963,82
24,22,15,940.914980218723,963,82
23,14,18,942.4563650376605,963,82
41,10,16,924.8070068938708,963,82
45,0,19,921.65503307908,963,82
81,-7,16,886.4789901627674,963,82
106,-11,18,862.031321936738,963,82
81,0,15,885.803589967889,963,82
36,0,16,930.6196860157214,963,82
72,14,18,893.5910697852794,963,82
28,8,22,937.9237708897243,963,82
26,10,10,939.7622039643859,963,82
10,4,18,956.1866972511174,963,82
8,5,16,958.09915979506,963,82
0,1,18,966.4005380793204,963,82
-2,0,134,968.4776713998109,963,82
-2,0,15,968.4776713998109,963,82
-3,-1,15,969.5591781835702,963,82
-4,-2,20,970.6415404257125,963,82
-3,-3,14,969.732437324853,963,82
-3,-3,18,969.732437324853,963,82
-3,-4,16,969.8206019671886,963,82
-2,-4,18,968.82454551895,963,82
-2,-3,17,968.7362902255701,963,82
-1,-2,16,967.6528303064069,963,82
0,-1,17,966.5702250742054,963,82
0,-1,16,966.5702250742054,963,82
-1,0,15,967.4812659684941,963,82
0,0,263,1251.9400944134668,1073,645
0,1,8,1251.4251875361947,1073,645
0,1,15,1251.4251875361947,1073,645
0,4,16,1249.8839946171004,1073,645
0,5,17,1249.371441965919,1073,645
-2,5,16,1251.0895251739582,1073,645
-7,10,17,1252.8467583866752,1073,645
-3,4,15,1252.4603786148286,1073,645
-9,27,18,1246.0529683765453,1073,645
-4,37,15,1236.7671567437421,1073,645
8,43,19,1223.3678923365612,1073,645
27,47,17,1204.8734373368848,1073,645
43,51,16,1189.006307804967,1073,645
46,52,17,1185.908090873825,1073,645
43,49,16,1190.0067226700864,1073,645
23,30,14,1216.850442741424,1073,645
22,35,21,1215.1958689857368,1073,645
10,22,13,1232.1111962805955,1073,645
7,33,19,1229.186723000212,1073,645
0,14,15,1244.7851220190576,1073,645
-5,24,19,1244.0759623109836,1073,645
-3,4,14,1252.4603786148286,1073,645
-10,9,20,1255.9398870965122,1073,645
-3,1,12,1253.998405102654,1073,645
-12,1,21,1261.7293687633653,1073,645
-7,-4,14,1260.0003968253343,1073,645
-4,-2,19,1256.398822030648,1073,645
-5,-3,16,1257.7710443478973,1073,645
-6,-1,16,1257.5996978371138,1073,645
-5,0,18,1256.2280843859526,1073,645
-5,2,13,1255.2023741214005,1073,645
-5,3,17,1254.690400058915,1073,645
-4,4,20,1253.319592123254,1073,645
-3,4,14,1252.4603786148286,1073,645
-3,5,16,1251.948880745536,1073,645
-2,5,19,1251.0895251739582,1073,645
-2,6,14,1250.5782662432607,1073,645
-1,5,18,1250.230378770249,1073,645
-2,6,17,1250.5782662432607,1073,645
-2,10,19,1248.5391463626602,1073,645
-1,3,13,1251.2553696188481,1073,645
-2,6,19,1250.5782662432607,1073,645
-1,2,18,1251.76874861134,1073,645
0,2,15,1250.9108681277016,1073,645
0,1,18,1251.4251875361947,1073,645
0,0,15,1251.9400944134668,1073,645
-1,0,28,1252.7972701119684,1073,645
0,0,188,586.4912616569833,586,24
0,-1,19,586.5330340228077,586,24
0,0,16,586.4912616569833,586,24
0,-1,77,586.5330340228077,586,24
0,0,8,586.4912616569833,586,24
-2,-2,15,588.5745492288976,586,24
-8,-7,16,594.8083725032794,586,24
-23,-25,17,610.9680842728203,586,24
-71,-84,17,665.8175425745404,586,24
-59,-75,17,652.5534460869853,586,24
-65,-89,17,660.7344398470539,586,24
-42,-56,16,633.0750350471893,586,24
-53,-71,15,646.0232193969501,586,24
-33,-39,18,622.1977177714492,586,24
-40,-49,16,630.2420170061656,586,24
-29,-33,15,617.635815023708,586,24
-21,-26,21,609.0558266694442,586,24
-11,-16,14,598.3385329393386,586,24
-9,-14,18,596.2122105425215,586,24
-4,-6,14,590.7622195096772,586,24
-4,-6,19,590.7622195096772,586,24
-2,-3,18,588.6195715400568,586,24
-1,0,15,587.4904254538963,586,24
0,-1,17,586.5330340228077,586,24
-1,0,16,587.4904254538963,586,24
0,-1,15,586.5330340228077,586,24
-1,-1,18,587.5321267811659,586,24
-3,-3,17,589.6185207403173,586,24
-1,-2,18,587.5755270601389,586,24
-1,-2,15,587.5755270601389,586,24
-1,-2,15,587.5755270601389,586,24
0,-2,19,586.5765082237781,586,24
-1,-2,17,587.5755270601389,586,24
0,-2,17,586.5765082237781,586,24
-1,0,14,587.4904254538963,586,24
2,0,312,943.1659451019211,933,151
6,2,7,938.8982905512183,933,151
6,3,15,938.7401131303594,933,151
30,8,19,914.2527002968053,933,151
54,15,16,889.4588242296549,933,151
33,9,15,911.1333601619468,933,151
107,32,19,834.5280103148126,933,151
43,14,15,900.4826483614218,933,151
43,16,17,900.1805374479055,933,151
