currentX,currentY,dx,dy,dt,d,targetX,targetY
659,587,0,0,0,640.5411774429494,153,622
650,587,-9,0,15,642.7503403344101,153,622
628,592,-22,5,17,641.3376645730391,153,622
573,604,-55,12,16,644.4873932048632,153,622
509,616,-64,12,17,647.4480674154491,153,622
435,629,-74,13,17,649.9307655435308,153,622
386,634,-49,5,16,649.2249225037499,153,622
326,635,-60,1,17,656.5135185203729,153,622
279,635,-47,0,17,653.3636047408824,153,622
253,632,-26,-3,16,650.1276797675977,153,622
237,630,-16,-2,17,646.4804714761306,153,622
223,628,-14,-2,17,645.9605251097005,153,622
215,626,-8,-2,16,644.4354118140933,153,622
210,626,-5,0,17,641.7538468914697,153,622
207,625,-3,-1,17,642.2343808922097,153,622
201,624,-6,-1,16,642.9696726907109,153,622
197,624,-4,0,17,641.5083787449701,153,622
192,624,-5,0,17,641.7538468914697,153,622
186,624,-6,0,17,642.000778815727,153,622
182,624,-4,0,16,641.5083787449701,153,622
175,624,-7,0,18,642.2491728293622,153,622
170,624,-5,0,17,641.7538468914697,153,622
165,624,-5,0,15,641.7538468914697,153,622
162,624,-3,0,17,641.2643760571766,153,622
160,624,-2,0,17,641.0218405015542,153,622
158,624,-2,0,16,641.0218405015542,153,622
157,624,-1,0,17,640.7807737440318,153,622
156,624,-1,0,17,640.7807737440318,153,622
156,624,0,0,16,640.5411774429494,153,622
155,623,-1,-1,17,641.7515095424396,153,622
154,623,-1,0,17,640.7807737440318,153,622
154,622,0,-1,16,641.5122757983669,153,622
154,622,0,0,17,640.5411774429494,153,622
153,622,-1,0,16,640.7807737440318,153,622
153,622,0,0,25,640.5411774429494,153,622
154,622,1,0,412,970.8243919473799,615,752
157,622,3,0,14,969.5607252771741,615,752
165,622,8,0,16,966.4124378338681,615,752
176,625,11,3,17,962.1938474132954,615,752
210,631,34,6,16,945.556449927766,615,752
235,637,25,6,17,951.1130321891294,615,752
264,644,29,7,17,947.8507266442327,615,752
292,652,28,8,16,947.6840190696475,615,752
311,658,19,6,17,954.8465845359661,615,752
332,664,21,6,17,953.5994966441624,615,752
348,670,16,6,16,956.7220076908443,615,752
360,675,12,5,17,960.0093749542241,615,752
370,678,10,3,17,962.8218942255104,615,752
379,681,9,3,17,963.450569567531,615,752
388,683,9,2,16,964.2281887603162,615,752
396,686,8,3,17,964.0798722097667,615,752
404,688,8,2,16,964.8569842209777,615,752
412,690,8,2,17,964.8569842209777,615,752
420,693,8,3,17,964.0798722097667,615,752
435,697,15,4,17,958.9077119306112,615,752
446,701,11,4,16,961.4156229227815,615,752
460,705,14,4,17,959.5337409387957,615,752
473,710,13,5,17,959.3815716387302,615,752
487,715,14,5,16,958.7544002506586,615,752
501,721,14,6,17,957.9754694145357,615,752
513,727,12,6,16,959.2314632037462,615,752
524,732,11,5,17,960.6378089581942,615,752
528,734,4,2,17,967.3784161330043,615,752
540,737,12,3,16,961.5664303624582,615,752
547,739,7,2,17,965.4864059115488,615,752
553,740,6,1,17,966.8929620180302,615,752
558,741,5,1,17,967.5231263385904,615,752
563,742,5,1,16,967.5231263385904,615,752
567,744,4,2,17,967.3784161330043,615,752
572,745,5,1,17,967.5231263385904,615,752
